area,station,component,dateTime,value
Drammen,Backeparken,PM2.5,2020-05-24T00:00:00+01:00,3.5041666667
Drammen,Backeparken,PM2.5,2020-05-25T00:00:00+01:00,2.147826087
Drammen,Backeparken,PM2.5,2020-05-26T00:00:00+01:00,6.0875
Drammen,Backeparken,PM2.5,2020-05-27T00:00:00+01:00,1.9375
Drammen,Backeparken,PM2.5,2020-05-28T00:00:00+01:00,1.9708333333
Drammen,Backeparken,PM2.5,2020-05-29T00:00:00+01:00,3.4
Drammen,Backeparken,PM2.5,2020-05-30T00:00:00+01:00,3.675
Drammen,Backeparken,PM2.5,2020-05-31T00:00:00+01:00,3.0291666667
Drammen,Backeparken,PM2.5,2020-06-01T00:00:00+01:00,3.4416666667
Drammen,Backeparken,PM2.5,2020-06-02T00:00:00+01:00,4.8416666667
Drammen,Backeparken,PM2.5,2020-06-03T00:00:00+01:00,5.1916666667
Drammen,Backeparken,PM2.5,2020-06-04T00:00:00+01:00,5.7125
Drammen,Backeparken,PM2.5,2020-06-05T00:00:00+01:00,4.7708333333
Drammen,Backeparken,PM2.5,2020-06-06T00:00:00+01:00,2.4333333333
Drammen,Backeparken,PM2.5,2020-06-07T00:00:00+01:00,1.2083333333
Drammen,Backeparken,PM2.5,2020-06-08T00:00:00+01:00,1.9041666667
Drammen,Backeparken,PM2.5,2020-06-09T00:00:00+01:00,3.875
Drammen,Backeparken,PM2.5,2020-06-10T00:00:00+01:00,5.0708333333
Drammen,Backeparken,PM2.5,2020-06-11T00:00:00+01:00,6.6083333333
Drammen,Backeparken,PM2.5,2020-06-12T00:00:00+01:00,6.6708333333
Drammen,Backeparken,PM2.5,2020-06-13T00:00:00+01:00,5.6583333333
Drammen,Backeparken,PM2.5,2020-06-14T00:00:00+01:00,5.275
Drammen,Backeparken,PM2.5,2020-06-15T00:00:00+01:00,9.3583333333
Drammen,Backeparken,PM2.5,2020-06-16T00:00:00+01:00,13.0208333333
Drammen,Backeparken,PM2.5,2020-06-17T00:00:00+01:00,15.0833333333
Drammen,Backeparken,PM2.5,2020-06-18T00:00:00+01:00,12.0583333333
Drammen,Backeparken,PM2.5,2020-06-19T00:00:00+01:00,11.425
Drammen,Backeparken,PM2.5,2020-06-20T00:00:00+01:00,10.8041666667
Drammen,Backeparken,PM2.5,2020-06-21T00:00:00+01:00,10.7666666667
Drammen,Backeparken,PM2.5,2020-06-22T00:00:00+01:00,7.6125
Drammen,Backeparken,PM2.5,2020-06-23T00:00:00+01:00,8.6208333333
Drammen,Backeparken,PM2.5,2020-06-24T00:00:00+01:00,8.275
Drammen,Backeparken,PM2.5,2020-06-25T00:00:00+01:00,5.8791666667
Drammen,Backeparken,PM2.5,2020-06-26T00:00:00+01:00,9.2125
Drammen,Backeparken,PM2.5,2020-06-27T00:00:00+01:00,15.675
Drammen,Backeparken,PM2.5,2020-06-28T00:00:00+01:00,9.7
Drammen,Backeparken,PM2.5,2020-06-29T00:00:00+01:00,4.4041666667
Drammen,Backeparken,PM2.5,2020-06-30T00:00:00+01:00,2.1916666667
Drammen,Backeparken,PM2.5,2020-07-01T00:00:00+01:00,1.4541666667
Drammen,Backeparken,PM2.5,2020-07-02T00:00:00+01:00,1.4208333333
Drammen,Backeparken,PM2.5,2020-07-03T00:00:00+01:00,1.1833333333
Drammen,Backeparken,PM2.5,2020-07-04T00:00:00+01:00,1.1375
Drammen,Backeparken,PM2.5,2020-07-05T00:00:00+01:00,1.575
Drammen,Backeparken,PM2.5,2020-07-06T00:00:00+01:00,0.5875
Drammen,Backeparken,PM2.5,2020-07-07T00:00:00+01:00,0.7541666667
Drammen,Backeparken,PM2.5,2020-07-08T00:00:00+01:00,1.1708333333
Drammen,Backeparken,PM2.5,2020-07-09T00:00:00+01:00,1.1916666667
Drammen,Backeparken,PM2.5,2020-07-10T00:00:00+01:00,2.2
Drammen,Backeparken,PM2.5,2020-07-11T00:00:00+01:00,1.15
Drammen,Backeparken,PM2.5,2020-07-12T00:00:00+01:00,0.9041666667
Drammen,Backeparken,PM2.5,2020-07-13T00:00:00+01:00,2.3541666667
Drammen,Backeparken,PM2.5,2020-07-14T00:00:00+01:00,2.1583333333
Drammen,Backeparken,PM2.5,2020-07-15T00:00:00+01:00,3.0625
Drammen,Backeparken,PM2.5,2020-07-16T00:00:00+01:00,3.45
Drammen,Backeparken,PM2.5,2020-07-17T00:00:00+01:00,4.0
Drammen,Backeparken,PM2.5,2020-07-18T00:00:00+01:00,4.8458333333
Drammen,Backeparken,PM2.5,2020-07-19T00:00:00+01:00,2.725
Drammen,Backeparken,PM2.5,2020-07-20T00:00:00+01:00,1.3541666667
Drammen,Backeparken,PM2.5,2020-07-21T00:00:00+01:00,0.9583333333
Drammen,Backeparken,PM2.5,2020-07-22T00:00:00+01:00,0.7916666667
Drammen,Backeparken,PM2.5,2020-07-23T00:00:00+01:00,1.3125
Drammen,Backeparken,PM2.5,2020-07-24T00:00:00+01:00,1.825
Drammen,Backeparken,PM2.5,2020-07-25T00:00:00+01:00,2.1666666667
Drammen,Backeparken,PM2.5,2020-07-26T00:00:00+01:00,3.6416666667
Drammen,Backeparken,PM2.5,2020-07-27T00:00:00+01:00,4.0708333333
Drammen,Backeparken,PM2.5,2020-07-28T00:00:00+01:00,3.5875
Drammen,Backeparken,PM2.5,2020-07-29T00:00:00+01:00,1.8541666667
Drammen,Backeparken,PM2.5,2020-07-30T00:00:00+01:00,1.4416666667
Drammen,Backeparken,PM2.5,2020-07-31T00:00:00+01:00,4.275
Drammen,Backeparken,PM2.5,2020-08-01T00:00:00+01:00,5.2291666667
Drammen,Backeparken,PM2.5,2020-08-02T00:00:00+01:00,5.4916666667
Drammen,Backeparken,PM2.5,2020-08-03T00:00:00+01:00,0.9375
Drammen,Backeparken,PM2.5,2020-08-04T00:00:00+01:00,1.9
Drammen,Backeparken,PM2.5,2020-08-05T00:00:00+01:00,3.2625
Drammen,Backeparken,PM2.5,2020-08-06T00:00:00+01:00,4.7375
Drammen,Backeparken,PM2.5,2020-08-07T00:00:00+01:00,8.6083333333
Drammen,Backeparken,PM2.5,2020-08-08T00:00:00+01:00,12.9041666667
Drammen,Backeparken,PM2.5,2020-08-09T00:00:00+01:00,5.6625
Drammen,Backeparken,PM2.5,2020-08-10T00:00:00+01:00,4.4125
Drammen,Backeparken,PM2.5,2020-08-11T00:00:00+01:00,8.7291666667
Drammen,Backeparken,PM2.5,2020-08-12T00:00:00+01:00,11.5125
Drammen,Backeparken,PM2.5,2020-08-13T00:00:00+01:00,7.0875
Drammen,Backeparken,PM2.5,2020-08-14T00:00:00+01:00,11.1291666667
Drammen,Backeparken,PM2.5,2020-08-15T00:00:00+01:00,12.6125
Drammen,Backeparken,PM2.5,2020-08-16T00:00:00+01:00,10.1125
Drammen,Backeparken,PM2.5,2020-08-17T00:00:00+01:00,11.8791666667
Drammen,Backeparken,PM2.5,2020-08-18T00:00:00+01:00,17.3625
Drammen,Backeparken,PM2.5,2020-08-19T00:00:00+01:00,11.2
Drammen,Backeparken,PM2.5,2020-08-20T00:00:00+01:00,5.8833333333
Drammen,Backeparken,PM2.5,2020-08-21T00:00:00+01:00,6.375
Drammen,Backeparken,PM2.5,2020-08-22T00:00:00+01:00,3.5416666667
Drammen,Backeparken,PM2.5,2020-08-23T00:00:00+01:00,2.2291666667
Drammen,Backeparken,PM2.5,2020-08-24T00:00:00+01:00,0.8875
Drammen,Backeparken,PM2.5,2020-08-25T00:00:00+01:00,1.5523809524
Drammen,Backeparken,PM2.5,2020-08-26T00:00:00+01:00,2.7083333333
Drammen,Backeparken,PM2.5,2020-08-27T00:00:00+01:00,2.9666666667
Drammen,Backeparken,PM2.5,2020-08-28T00:00:00+01:00,2.975
Drammen,Backeparken,PM2.5,2020-08-29T00:00:00+01:00,2.7041666667
Drammen,Backeparken,PM2.5,2020-08-30T00:00:00+01:00,1.9875
Drammen,Backeparken,PM2.5,2020-08-31T00:00:00+01:00,1.5916666667
Drammen,Backeparken,PM2.5,2020-09-01T00:00:00+01:00,2.5333333333
Drammen,Backeparken,PM2.5,2020-09-02T00:00:00+01:00,4.1125
Drammen,Backeparken,PM2.5,2020-09-03T00:00:00+01:00,5.9625
Drammen,Backeparken,PM2.5,2020-09-04T00:00:00+01:00,3.175
Drammen,Backeparken,PM2.5,2020-09-05T00:00:00+01:00,1.3666666667
Drammen,Backeparken,PM2.5,2020-09-06T00:00:00+01:00,1.0916666667
Drammen,Backeparken,PM2.5,2020-09-07T00:00:00+01:00,1.5625
Drammen,Backeparken,PM2.5,2020-09-08T00:00:00+01:00,1.7916666667
Drammen,Backeparken,PM2.5,2020-09-09T00:00:00+01:00,1.5583333333
Drammen,Backeparken,PM2.5,2020-09-10T00:00:00+01:00,1.1708333333
Drammen,Backeparken,PM2.5,2020-09-11T00:00:00+01:00,3.8166666667
Drammen,Backeparken,PM2.5,2020-09-12T00:00:00+01:00,2.6875
Drammen,Backeparken,PM2.5,2020-09-13T00:00:00+01:00,2.5166666667
Drammen,Backeparken,PM2.5,2020-09-14T00:00:00+01:00,3.5958333333
Drammen,Backeparken,PM2.5,2020-09-15T00:00:00+01:00,6.3583333333
Drammen,Backeparken,PM2.5,2020-09-16T00:00:00+01:00,2.4208333333
Drammen,Backeparken,PM2.5,2020-09-17T00:00:00+01:00,2.5833333333
Drammen,Backeparken,PM2.5,2020-09-18T00:00:00+01:00,1.825
Drammen,Backeparken,PM2.5,2020-09-19T00:00:00+01:00,1.8375
Drammen,Backeparken,PM2.5,2020-09-20T00:00:00+01:00,4.5125
Drammen,Backeparken,PM2.5,2020-09-21T00:00:00+01:00,4.6458333333
Drammen,Backeparken,PM2.5,2020-09-22T00:00:00+01:00,4.7913043478
Drammen,Backeparken,PM2.5,2020-09-23T00:00:00+01:00,8.7625
Drammen,Backeparken,PM2.5,2020-09-24T00:00:00+01:00,7.2958333333
Drammen,Backeparken,PM2.5,2020-09-25T00:00:00+01:00,2.9416666667
Drammen,Backeparken,PM2.5,2020-09-26T00:00:00+01:00,0.6583333333
Drammen,Backeparken,PM2.5,2020-09-27T00:00:00+01:00,3.7458333333
Drammen,Backeparken,PM2.5,2020-09-28T00:00:00+01:00,10.5
Drammen,Backeparken,PM2.5,2020-09-29T00:00:00+01:00,12.1125
Drammen,Backeparken,PM2.5,2020-09-30T00:00:00+01:00,11.3791666667
Drammen,Backeparken,PM2.5,2020-10-01T00:00:00+01:00,7.2791666667
Drammen,Backeparken,PM2.5,2020-10-02T00:00:00+01:00,24.325
Drammen,Backeparken,PM2.5,2020-10-03T00:00:00+01:00,36.6291666667
Drammen,Backeparken,PM2.5,2020-10-04T00:00:00+01:00,9.2458333333
